rosbagTimestamp,Fx,Fy,Fz,Mx,My,Mz
1584377360192325562,-7.56999969482,-22.2799987793,-13.1399993896,4.01499986649,-1.59799981117,-0.357000052929
1584377360303148465,-7.08999633789,-19.7900009155,-10.9599990845,3.59500026703,-1.3900001049,-0.341000020504
1584377360413749495,-5.44999694824,-11.75,-5.88999938965,2.27699995041,-1.13300013542,-0.29800003767
1584377360528757861,-4.11000061035,-4.44000244141,-2.11999893188,1.04600000381,-0.793999910355,-0.253000020981
1584377360639312413,-3.45999908447,-6.08000183105,-3.00999832153,1.25,-0.655999898911,-0.211000025272
1584377360749963286,-2.75,-11.3600006104,-5.40999984741,2.08400011063,-0.604999780655,-0.180000007153
1584377360864703982,-2.88999938965,-8.88999938965,-3.7799987793,1.67100000381,-0.484999895096,-0.152000010014
1584377360975493543,-3.54000091553,-11.6900024414,-4.84000015259,1.90400028229,-0.480999708176,-0.147000014782
1584377361086120761,-3.90000152588,-17.1900024414,-8.43999862671,2.96799993515,-0.65099978447,-0.198000013828
1584377361200973647,-5.5,-22.5200042725,-12.7400016785,3.90899991989,-0.863000154495,-0.264000058174
1584377361311585987,-5.98000335693,-28.2300033569,-17.4700012207,4.94000005722,-1.29999995232,-0.308000028133
1584377361422286172,-7.65999603271,-31.8899993896,-20.9200000763,5.49399995804,-1.6740000248,-0.349000036716
1584377361536972286,-8.73999786377,-31.8700027466,-21.5599994659,5.5560002327,-1.91499972343,-0.377000033855
1584377361647696495,-9.55000305176,-33.0400009155,-22.7000007629,5.71099996567,-2.1099998951,-0.397000014782
1584377361758198329,-10.5600013733,-36.8600006104,-25.9899997711,6.42400026321,-2.30799984932,-0.395000040531
1584377361873079157,-9.59999847412,-35.4899978638,-24.7000007629,6.16700029373,-2.24399971962,-0.381000041962
1584377361983880951,-8.19000244141,-26.8799972534,-18.2700004578,4.85600042343,-1.69400000572,-0.348000049591
1584377362094637441,-6.18000030518,-17.5200042725,-9.31000137329,3.26300001144,-1.23300004005,-0.31500005722
1584377362209491398,-4.80999755859,-14.9199981689,-7.81999969482,2.77099990845,-0.96599984169,-0.259000003338
1584377362320415130,-4.26000213623,-20.4599990845,-10.6599998474,3.60400009155,-0.871999979019,-0.214000046253
1584377362431150991,-2.48000335693,-14.3199996948,-6.90999984741,2.74800014496,-0.684999704361,-0.184000015259
1584377362541931645,-1.69000244141,-8.30999755859,-3.18000030518,1.64700031281,-0.421999931335,-0.119000017643
1584377362656815589,-1.54000091553,-6.05000305176,-2.25,1.28299999237,-0.337999820709,-0.085000038147
1584377362767635788,-2.05999755859,-9.87000274658,-4.16999816895,1.71700000763,-0.304999828339,-0.0880000591278
1584377362878370005,-1.11000061035,-7.19999694824,-3.24000167847,1.44899988174,-0.335999965668,-0.104000031948
1584377362993239862,-1.26999664307,-8.76000213623,-3.20999908447,1.54400014877,-0.398000001907,-0.120000004768
1584377363104067856,-2.31999969482,-12.4199981689,-6.02000045776,2.35100030899,-0.386999845505,-0.151000022888
1584377363214715402,-2.95999908447,-18.9300003052,-9.54000091553,3.32000017166,-0.542000055313,-0.188000023365
1584377363329546607,-5.16999816895,-24.8499984741,-14.3199996948,4.43600034714,-0.667000055313,-0.242000043392
1584377363440322333,-4.59999847412,-29.9300003052,-18.0900001526,5.2030005455,-0.986999750137,-0.26700001955
1584377363550954239,-5.70999908447,-34.1200027466,-21.7299995422,5.89600038528,-1.23599982262,-0.287000000477
1584377363661660876,-5.81999969482,-35.0999984741,-23.3500003815,6.20200014114,-1.44499993324,-0.302000045776
1584377363776601155,-6.76999664307,-34.3600006104,-23.0499992371,6.02699995041,-1.47699999809,-0.309000015259
1584377363887470805,-6.08000183105,-33.3899993896,-22.7199993134,5.96600008011,-1.54200005531,-0.303000032902
