rosbagTimestamp,Fx,Fy,Fz,Mx,My,Mz
1584444396438810984,-0.0100021362305,-0.0400009155273,0.0800018310547,0.00500011444092,0.0,0.00400000810623
1584444396549325561,0.0,-0.0799980163574,0.0699996948242,0.00400018692017,0.000999927520752,0.00300002098083
1584444396659876976,0.0299987792969,-0.200000762939,0.0900001525879,0.00300025939941,-0.00100016593933,0.00400000810623
1584444396774361170,-0.0699996948242,-0.25,0.0800018310547,0.00200033187866,0.0019998550415,0.00400000810623
1584444396885030345,-0.0100021362305,-0.0400009155273,0.0299987792969,0.00500011444092,0.0,0.00400000810623
1584444396995455735,-0.0500030517578,-0.25,0.0400009155273,0.00300025939941,0.0019998550415,0.00300002098083
1584444397110067367,-0.130004882812,-0.119998931885,0.0400009155273,0.00500011444092,0.00499987602234,0.00300002098083
1584444397220757301,-0.0900039672852,-0.0499992370605,0.0299987792969,0.00600004196167,0.0019998550415,0.00400000810623
1584444397331032310,-0.0200042724609,-0.060001373291,0.0200004577637,0.00600004196167,0.0019998550415,0.00400000810623
1584444397445747466,-0.0699996948242,-0.169998168945,0.0900001525879,0.00300025939941,0.00300002098083,0.00499999523163
1584444397556153149,-0.0800018310547,-0.0299987792969,0.0699996948242,0.00600004196167,0.000999927520752,0.00400000810623
1584444397670660015,-0.0100021362305,-0.0900001525879,0.130001068115,0.00400018692017,-0.00300002098083,0.00300002098083
1584444397781351773,-0.0299987792969,-0.0699996948242,0.139999389648,0.00400018692017,0.0,0.00400000810623
1584444397891917544,-0.0299987792969,-0.0499992370605,0.0999984741211,0.00600004196167,0.00300002098083,0.00300002098083
1584444398006782249,-0.0600051879883,-0.169998168945,0.0800018310547,0.00400018692017,0.0019998550415,0.00199997425079
1584444398117542864,-0.0299987792969,-0.060001373291,0.0800018310547,0.00400018692017,0.000999927520752,0.00300002098083
1584444398228042763,-0.0299987792969,-0.189998626709,0.060001373291,0.00400018692017,0.000999927520752,0.000999987125397
