rosbagTimestamp,Fx,Fy,Fz,Mx,My,Mz
1584442630891142331,-1.09999847412,1.45000076294,1.4700012207,-0.290999889374,-0.172999858856,-0.210999965668
1584442631005845243,-1.23999786377,1.98999786377,1.63999938965,-0.361999988556,-0.0759999752045,-0.214999973774
1584442631116476688,-0.669998168945,2.25,1.70999908447,-0.429000139236,-0.077999830246,-0.223999977112
1584442631227142958,-0.639999389648,2.27000045776,1.68000030518,-0.483000040054,-0.0749998092651,-0.222999989986
1584442631341650615,-0.479995727539,1.75,1.81999969482,-0.488000154495,-0.0839998722076,-0.225999951363
1584442631452325742,-0.439994812012,1.93000030518,2.45999908447,-0.463999986649,0.0090000629425,-0.227999985218
1584442631562889872,0.0400009155273,2.59999847412,2.22999954224,-0.56200003624,0.00300002098083,-0.225999951363
1584442631677614625,-0.0699996948242,2.38000106812,2.38999938965,-0.551000118256,0.00100016593933,-0.239999949932
1584442631788312434,-0.349998474121,2.38000106812,2.30999755859,-0.601999998093,0.0350000858307,-0.236999988556
1584442631898808196,0.360000610352,2.93000030518,2.31999969482,-0.651000022888,0.0370001792908,-0.245999991894
1584442632013491130,-0.430000305176,3.00999832153,1.91999816895,-0.594000101089,0.0729999542236,-0.250999987125
1584442632124090756,0.0,2.75999832153,2.18000030518,-0.607000112534,0.0310001373291,-0.262999951839
1584442632237708613,0.0,3.47999954224,2.34000015259,-0.652000188828,0.0310001373291,-0.264999985695
1584442632347389596,-0.689994812012,3.11000061035,2.05999755859,-0.664000034332,0.0250000953674,-0.26599997282
1584442632461153495,-0.549995422363,3.18000030518,2.25,-0.646000146866,0.0370001792908,-0.273000001907
1584442632570685399,0.0299987792969,3.18000030518,2.36000061035,-0.652000188828,0.0260000228882,-0.278999984264
1584442632684466631,0.720001220703,3.98999786377,2.61999893188,-0.838000059128,0.175000190735,-0.259999990463
1584442632794042798,0.959999084473,3.93999862671,2.77000045776,-0.873000144958,0.248000144958,-0.251999974251
1584442632907819180,0.720001220703,4.39999771118,2.95999908447,-0.914000034332,0.261000156403,-0.254000008106
1584442633021439041,1.06000518799,4.61000061035,2.89999771118,-0.968000173569,0.279000043869,-0.251999974251
1584442633131090088,1.63999938965,4.79000091553,3.09999847412,-0.978000164032,0.308000087738,-0.252999961376
1584442633244804886,1.81999969482,4.72999954224,3.5,-1.0070002079,0.325000047684,-0.250999987125
1584442633354396731,1.73000335693,5.11999893188,3.5,-0.989000082016,0.309000015259,-0.254999995232
1584442633468112742,2.02000427246,4.79000091553,3.54000091553,-0.999000072479,0.317000150681,-0.254999995232
1584442633581779400,1.92000579834,4.98999786377,3.55999755859,-1.00300002098,0.319000005722,-0.254999995232
1584442633691441737,2.17000579834,5.98999786377,3.57999801636,-1.07500004768,0.334000110626,-0.256999969482
1584442633805142639,2.01000213623,6.50999832153,3.65999984741,-1.16300010681,0.351999998093,-0.280999958515
1584442633914766886,2.31999969482,6.0,3.75999832153,-1.19500017166,0.348999977112,-0.310000002384
1584442634028492825,3.04000091553,6.20000076294,3.63999938965,-1.2460000515,0.384999990463,-0.338999927044
1584442634138083548,3.31999969482,6.13000106812,3.52000045776,-1.25300002098,0.412000179291,-0.35699993372
1584442634251800009,3.04000091553,6.38999938965,3.45000076294,-1.24000000954,0.450999975204,-0.377000033855
1584442634365529985,2.87000274658,6.82999801636,3.04000091553,-1.32000017166,0.435000181198,-0.39200001955
1584442634475199416,3.58000183105,6.36000061035,3.40999984741,-1.30200004578,0.460000038147,-0.412000000477
1584442634588891712,3.25,6.7200012207,3.23999786377,-1.3180000782,0.467000007629,-0.416999995708
1584442634698514045,3.31999969482,6.93000030518,3.04999923706,-1.33200001717,0.469000101089,-0.42199999094
1584442634812270200,3.20999908447,7.07999801636,3.13999938965,-1.32500004768,0.478000164032,-0.433999955654
1584442634925943901,3.45999908447,7.47999954224,3.5,-1.32600021362,0.485000133514,-0.45199996233
1584442635035535687,3.81999969482,6.65999984741,3.13000106812,-1.31900000572,0.460000038147,-0.461999952793
1584442635149278527,3.99000549316,6.18000030518,3.77000045776,-1.32700014114,0.499000072479,-0.474999964237
1584442635258937849,3.79000091553,6.75999832153,3.36999893188,-1.33500003815,0.524000167847,-0.489000022411
1584442635372629153,4.0299987793,6.93999862671,3.5,-1.35199999809,0.535000085831,-0.499000012875
1584442635482226499,3.81999969482,7.20999908447,3.39999771118,-1.39800000191,0.536000013351,-0.51499992609
1584442635596025424,4.0,7.68000030518,2.68999862671,-1.41500020027,0.536000013351,-0.532000005245
1584442635709701890,4.68000030518,7.36999893188,2.81999969482,-1.41799998283,0.56299996376,-0.553000032902
1584442635819334663,4.09000396729,8.40999984741,3.13999938965,-1.46399998665,0.582000017166,-0.568000018597
1584442635932913677,4.13999938965,8.09999847412,3.73999786377,-1.50800013542,0.578999996185,-0.599999964237
1584442636042613334,3.61000061035,7.88000106812,3.34000015259,-1.50300002098,0.473000049591,-0.627999961376
1584442636156339434,4.11000061035,7.0299987793,4.32999801636,-1.48000001907,0.518000125885,-0.655999958515
1584442636266005007,4.09000396729,8.0299987793,2.86000061035,-1.48600006104,0.457000017166,-0.657999932766
1584442636379787260,3.95999908447,6.81999969482,2.88000106812,-1.42600011826,0.468000173569,-0.663999974728
1584442636493560628,3.95999908447,7.13000106812,3.38000106812,-1.42100000381,0.482000112534,-0.67199999094
1584442636603204421,4.38000488281,7.72999954224,2.04999923706,-1.4390001297,0.447999954224,-0.678999960423
1584442636716857083,4.09000396729,7.27000045776,2.79999923706,-1.42500019073,0.426000118256,-0.683999955654
1584442636826482431,3.56000518799,7.11000061035,2.81999969482,-1.34800004959,0.460999965668,-0.680000007153
1584442636940183293,4.06999969482,7.20999908447,2.84000015259,-1.37900018692,0.430999994278,-0.693999946117
1584442637053843800,3.52000427246,6.7200012207,2.93000030518,-1.33400011063,0.460999965668,-0.691999971867
1584442637163486400,4.13000488281,6.70000076294,3.2200012207,-1.31900000572,0.463000059128,-0.70300000906
1584442637277179939,4.33000183105,5.86999893188,3.20999908447,-1.30000019073,0.473999977112,-0.701000034809
1584442637386804415,4.40000152588,6.04999923706,3.04000091553,-1.30100011826,0.506000041962,-0.70300000906
1584442637500522169,4.49000549316,6.61999893188,2.9700012207,-1.29299998283,0.493999958038,-0.701000034809
